Sequence  | Length  | Host                          | OpId                                                        | Address         | OpName        | OpSig                                                                           | Data| Operation
0         | 67      | intrinsics/dinx               | vbitblend_(v128x8u,v128x8u,v128x8u)                         | 7ff7c83d74a0h   | vbitblend     | Vector128<byte> vbitblend(Vector128<byte> x, Vector128<byte> y, Vector128<byte> mask)| c5 f8 77 66 90 c5 f9 10 02 c5 f8 28 c8 c4 c1 79 10 10 c5 f1 ef ca c4 c1 79 10 11 c5 f1 db ca c5 f9 ef c1 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
730       | 711     | intrinsics/dinx               | vor_(v256x16i,v256x16i)                                     | 7ff7c83e61d0h   | vor           | Vector256<short> vor(Vector256<short> x, Vector256<short> y)                    | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 b8 11 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 10 12 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 68 12 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 c0 12 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 18 13 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 70 13 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 48 16 48 c8 f7 7f 00 00 48 83 ec 28 c5 f8 77 33 c0 48 89 44 24 18 48 89 44 24 20 48 b8 55 55 55 55 55 55 55 55 48 89 44 24 10 48 8d 44 24 10 c4 e2 79 59 44 24 10 48 b8 33 33 33 33 33 33 33 33 48 89 44 24 08 48 8d 44 24 08 c4 e2 79 59 4c 24 08 48 b8 0f 0f 0f 0f 0f 0f 0f 0f 48 89 04 24 48 8d 04 24 c4 e2 79 59 14 24 c5 f9 10 19 c5 f9 10 22 c5 e1 ef dc c4 c1 79 10 20 c5 e1 db dc c5 f9 10 21 c5 f9 10 2a c5 d9 db e5 c5 e1 eb dc c5 f9 10 21 c5 f9 10 2a c5 d9 ef e5 c4 c1 79 10 28 c5 d9 ef e5 c5 d1 73 d3 01 c5 d1 db e8 c5 e1 fb dd c5 d1 73 d4 01 c5 d1 db c0 c5 d9 fb e0 c5 e1 db c1 c5 e1 73 d3 02 c5 e1 db d9 c5 f9 d4 db c5 d9 db c1 c5 d9 73 d4 02 c5 d9 db c9 c5 f9 d4 e1 c5 f9 73 d3 04 c5 e1 d4 d8 c5 e1 db da c5 f9 73 d4 04 c5 d9 d4 e0 c5 d9 db e2 c5 e1 d4 c3 c5 f9 d4 e4 33 c0 48 89 44 24 18 48 89 44 24 20 48 8d 44 24 18 c5 fa 7f 20 48 b8 01 01 01 01 01 01 01 01 48 0f af 44 24 18 48 c1 e8 38 48 ba 01 01 01 01 01 01 01 01 48 0f af 54 24 20 48 c1 ea 38 48 03 c2 48 83 c4 28 c3 cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
731       | 663     | intrinsics/dinx               | vor_(v256x8i,v256x8i)                                       | 7ff7c83e6200h   | vor           | Vector256<sbyte> vor(Vector256<sbyte> x, Vector256<sbyte> y)                    | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 10 12 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 68 12 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 c0 12 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 18 13 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 70 13 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 48 16 48 c8 f7 7f 00 00 48 83 ec 28 c5 f8 77 33 c0 48 89 44 24 18 48 89 44 24 20 48 b8 55 55 55 55 55 55 55 55 48 89 44 24 10 48 8d 44 24 10 c4 e2 79 59 44 24 10 48 b8 33 33 33 33 33 33 33 33 48 89 44 24 08 48 8d 44 24 08 c4 e2 79 59 4c 24 08 48 b8 0f 0f 0f 0f 0f 0f 0f 0f 48 89 04 24 48 8d 04 24 c4 e2 79 59 14 24 c5 f9 10 19 c5 f9 10 22 c5 e1 ef dc c4 c1 79 10 20 c5 e1 db dc c5 f9 10 21 c5 f9 10 2a c5 d9 db e5 c5 e1 eb dc c5 f9 10 21 c5 f9 10 2a c5 d9 ef e5 c4 c1 79 10 28 c5 d9 ef e5 c5 d1 73 d3 01 c5 d1 db e8 c5 e1 fb dd c5 d1 73 d4 01 c5 d1 db c0 c5 d9 fb e0 c5 e1 db c1 c5 e1 73 d3 02 c5 e1 db d9 c5 f9 d4 db c5 d9 db c1 c5 d9 73 d4 02 c5 d9 db c9 c5 f9 d4 e1 c5 f9 73 d3 04 c5 e1 d4 d8 c5 e1 db da c5 f9 73 d4 04 c5 d9 d4 e0 c5 d9 db e2 c5 e1 d4 c3 c5 f9 d4 e4 33 c0 48 89 44 24 18 48 89 44 24 20 48 8d 44 24 18 c5 fa 7f 20 48 b8 01 01 01 01 01 01 01 01 48 0f af 44 24 18 48 c1 e8 38 48 ba 01 01 01 01 01 01 01 01 48 0f af 54 24 20 48 c1 ea 38 48 03 c2 48 83 c4 28 c3 cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
732       | 615     | intrinsics/dinx               | vor_(v256x16u,v256x16u)                                     | 7ff7c83e6230h   | vor           | Vector256<ushort> vor(Vector256<ushort> x, Vector256<ushort> y)                 | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 68 12 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 c0 12 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 18 13 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 70 13 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 48 16 48 c8 f7 7f 00 00 48 83 ec 28 c5 f8 77 33 c0 48 89 44 24 18 48 89 44 24 20 48 b8 55 55 55 55 55 55 55 55 48 89 44 24 10 48 8d 44 24 10 c4 e2 79 59 44 24 10 48 b8 33 33 33 33 33 33 33 33 48 89 44 24 08 48 8d 44 24 08 c4 e2 79 59 4c 24 08 48 b8 0f 0f 0f 0f 0f 0f 0f 0f 48 89 04 24 48 8d 04 24 c4 e2 79 59 14 24 c5 f9 10 19 c5 f9 10 22 c5 e1 ef dc c4 c1 79 10 20 c5 e1 db dc c5 f9 10 21 c5 f9 10 2a c5 d9 db e5 c5 e1 eb dc c5 f9 10 21 c5 f9 10 2a c5 d9 ef e5 c4 c1 79 10 28 c5 d9 ef e5 c5 d1 73 d3 01 c5 d1 db e8 c5 e1 fb dd c5 d1 73 d4 01 c5 d1 db c0 c5 d9 fb e0 c5 e1 db c1 c5 e1 73 d3 02 c5 e1 db d9 c5 f9 d4 db c5 d9 db c1 c5 d9 73 d4 02 c5 d9 db c9 c5 f9 d4 e1 c5 f9 73 d3 04 c5 e1 d4 d8 c5 e1 db da c5 f9 73 d4 04 c5 d9 d4 e0 c5 d9 db e2 c5 e1 d4 c3 c5 f9 d4 e4 33 c0 48 89 44 24 18 48 89 44 24 20 48 8d 44 24 18 c5 fa 7f 20 48 b8 01 01 01 01 01 01 01 01 48 0f af 44 24 18 48 c1 e8 38 48 ba 01 01 01 01 01 01 01 01 48 0f af 54 24 20 48 c1 ea 38 48 03 c2 48 83 c4 28 c3 cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
733       | 567     | intrinsics/dinx               | vor_(v256x32i,v256x32i)                                     | 7ff7c83e6260h   | vor           | Vector256<int> vor(Vector256<int> x, Vector256<int> y)                          | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 c0 12 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 18 13 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 70 13 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 48 16 48 c8 f7 7f 00 00 48 83 ec 28 c5 f8 77 33 c0 48 89 44 24 18 48 89 44 24 20 48 b8 55 55 55 55 55 55 55 55 48 89 44 24 10 48 8d 44 24 10 c4 e2 79 59 44 24 10 48 b8 33 33 33 33 33 33 33 33 48 89 44 24 08 48 8d 44 24 08 c4 e2 79 59 4c 24 08 48 b8 0f 0f 0f 0f 0f 0f 0f 0f 48 89 04 24 48 8d 04 24 c4 e2 79 59 14 24 c5 f9 10 19 c5 f9 10 22 c5 e1 ef dc c4 c1 79 10 20 c5 e1 db dc c5 f9 10 21 c5 f9 10 2a c5 d9 db e5 c5 e1 eb dc c5 f9 10 21 c5 f9 10 2a c5 d9 ef e5 c4 c1 79 10 28 c5 d9 ef e5 c5 d1 73 d3 01 c5 d1 db e8 c5 e1 fb dd c5 d1 73 d4 01 c5 d1 db c0 c5 d9 fb e0 c5 e1 db c1 c5 e1 73 d3 02 c5 e1 db d9 c5 f9 d4 db c5 d9 db c1 c5 d9 73 d4 02 c5 d9 db c9 c5 f9 d4 e1 c5 f9 73 d3 04 c5 e1 d4 d8 c5 e1 db da c5 f9 73 d4 04 c5 d9 d4 e0 c5 d9 db e2 c5 e1 d4 c3 c5 f9 d4 e4 33 c0 48 89 44 24 18 48 89 44 24 20 48 8d 44 24 18 c5 fa 7f 20 48 b8 01 01 01 01 01 01 01 01 48 0f af 44 24 18 48 c1 e8 38 48 ba 01 01 01 01 01 01 01 01 48 0f af 54 24 20 48 c1 ea 38 48 03 c2 48 83 c4 28 c3 cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
734       | 519     | intrinsics/dinx               | vor_(v256x32u,v256x32u)                                     | 7ff7c83e6290h   | vor           | Vector256<uint> vor(Vector256<uint> x, Vector256<uint> y)                       | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 18 13 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 70 13 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 48 16 48 c8 f7 7f 00 00 48 83 ec 28 c5 f8 77 33 c0 48 89 44 24 18 48 89 44 24 20 48 b8 55 55 55 55 55 55 55 55 48 89 44 24 10 48 8d 44 24 10 c4 e2 79 59 44 24 10 48 b8 33 33 33 33 33 33 33 33 48 89 44 24 08 48 8d 44 24 08 c4 e2 79 59 4c 24 08 48 b8 0f 0f 0f 0f 0f 0f 0f 0f 48 89 04 24 48 8d 04 24 c4 e2 79 59 14 24 c5 f9 10 19 c5 f9 10 22 c5 e1 ef dc c4 c1 79 10 20 c5 e1 db dc c5 f9 10 21 c5 f9 10 2a c5 d9 db e5 c5 e1 eb dc c5 f9 10 21 c5 f9 10 2a c5 d9 ef e5 c4 c1 79 10 28 c5 d9 ef e5 c5 d1 73 d3 01 c5 d1 db e8 c5 e1 fb dd c5 d1 73 d4 01 c5 d1 db c0 c5 d9 fb e0 c5 e1 db c1 c5 e1 73 d3 02 c5 e1 db d9 c5 f9 d4 db c5 d9 db c1 c5 d9 73 d4 02 c5 d9 db c9 c5 f9 d4 e1 c5 f9 73 d3 04 c5 e1 d4 d8 c5 e1 db da c5 f9 73 d4 04 c5 d9 d4 e0 c5 d9 db e2 c5 e1 d4 c3 c5 f9 d4 e4 33 c0 48 89 44 24 18 48 89 44 24 20 48 8d 44 24 18 c5 fa 7f 20 48 b8 01 01 01 01 01 01 01 01 48 0f af 44 24 18 48 c1 e8 38 48 ba 01 01 01 01 01 01 01 01 48 0f af 54 24 20 48 c1 ea 38 48 03 c2 48 83 c4 28 c3 cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
735       | 471     | intrinsics/dinx               | vor_(v256x64i,v256x64i)                                     | 7ff7c83e62c0h   | vor           | Vector256<long> vor(Vector256<long> x, Vector256<long> y)                       | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 70 13 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 48 16 48 c8 f7 7f 00 00 48 83 ec 28 c5 f8 77 33 c0 48 89 44 24 18 48 89 44 24 20 48 b8 55 55 55 55 55 55 55 55 48 89 44 24 10 48 8d 44 24 10 c4 e2 79 59 44 24 10 48 b8 33 33 33 33 33 33 33 33 48 89 44 24 08 48 8d 44 24 08 c4 e2 79 59 4c 24 08 48 b8 0f 0f 0f 0f 0f 0f 0f 0f 48 89 04 24 48 8d 04 24 c4 e2 79 59 14 24 c5 f9 10 19 c5 f9 10 22 c5 e1 ef dc c4 c1 79 10 20 c5 e1 db dc c5 f9 10 21 c5 f9 10 2a c5 d9 db e5 c5 e1 eb dc c5 f9 10 21 c5 f9 10 2a c5 d9 ef e5 c4 c1 79 10 28 c5 d9 ef e5 c5 d1 73 d3 01 c5 d1 db e8 c5 e1 fb dd c5 d1 73 d4 01 c5 d1 db c0 c5 d9 fb e0 c5 e1 db c1 c5 e1 73 d3 02 c5 e1 db d9 c5 f9 d4 db c5 d9 db c1 c5 d9 73 d4 02 c5 d9 db c9 c5 f9 d4 e1 c5 f9 73 d3 04 c5 e1 d4 d8 c5 e1 db da c5 f9 73 d4 04 c5 d9 d4 e0 c5 d9 db e2 c5 e1 d4 c3 c5 f9 d4 e4 33 c0 48 89 44 24 18 48 89 44 24 20 48 8d 44 24 18 c5 fa 7f 20 48 b8 01 01 01 01 01 01 01 01 48 0f af 44 24 18 48 c1 e8 38 48 ba 01 01 01 01 01 01 01 01 48 0f af 54 24 20 48 c1 ea 38 48 03 c2 48 83 c4 28 c3 cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
736       | 423     | intrinsics/dinx               | vor_(v256x64u,v256x64u)                                     | 7ff7c83e62f0h   | vor           | Vector256<ulong> vor(Vector256<ulong> x, Vector256<ulong> y)                    | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d eb 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 48 16 48 c8 f7 7f 00 00 48 83 ec 28 c5 f8 77 33 c0 48 89 44 24 18 48 89 44 24 20 48 b8 55 55 55 55 55 55 55 55 48 89 44 24 10 48 8d 44 24 10 c4 e2 79 59 44 24 10 48 b8 33 33 33 33 33 33 33 33 48 89 44 24 08 48 8d 44 24 08 c4 e2 79 59 4c 24 08 48 b8 0f 0f 0f 0f 0f 0f 0f 0f 48 89 04 24 48 8d 04 24 c4 e2 79 59 14 24 c5 f9 10 19 c5 f9 10 22 c5 e1 ef dc c4 c1 79 10 20 c5 e1 db dc c5 f9 10 21 c5 f9 10 2a c5 d9 db e5 c5 e1 eb dc c5 f9 10 21 c5 f9 10 2a c5 d9 ef e5 c4 c1 79 10 28 c5 d9 ef e5 c5 d1 73 d3 01 c5 d1 db e8 c5 e1 fb dd c5 d1 73 d4 01 c5 d1 db c0 c5 d9 fb e0 c5 e1 db c1 c5 e1 73 d3 02 c5 e1 db d9 c5 f9 d4 db c5 d9 db c1 c5 d9 73 d4 02 c5 d9 db c9 c5 f9 d4 e1 c5 f9 73 d3 04 c5 e1 d4 d8 c5 e1 db da c5 f9 73 d4 04 c5 d9 d4 e0 c5 d9 db e2 c5 e1 d4 c3 c5 f9 d4 e4 33 c0 48 89 44 24 18 48 89 44 24 20 48 8d 44 24 18 c5 fa 7f 20 48 b8 01 01 01 01 01 01 01 01 48 0f af 44 24 18 48 c1 e8 38 48 ba 01 01 01 01 01 01 01 01 48 0f af 54 24 20 48 c1 ea 38 48 03 c2 48 83 c4 28 c3 cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
737       | 375     | intrinsics/dinx               | vpop_(v128x64u,v128x64u,v128x64u)                           | 7ff7c83e6320h   | vpop          | uint vpop(Vector128<ulong> x, Vector128<ulong> y, Vector128<ulong> z)           | 48 83 ec 28 c5 f8 77 33 c0 48 89 44 24 18 48 89 44 24 20 48 b8 55 55 55 55 55 55 55 55 48 89 44 24 10 48 8d 44 24 10 c4 e2 79 59 44 24 10 48 b8 33 33 33 33 33 33 33 33 48 89 44 24 08 48 8d 44 24 08 c4 e2 79 59 4c 24 08 48 b8 0f 0f 0f 0f 0f 0f 0f 0f 48 89 04 24 48 8d 04 24 c4 e2 79 59 14 24 c5 f9 10 19 c5 f9 10 22 c5 e1 ef dc c4 c1 79 10 20 c5 e1 db dc c5 f9 10 21 c5 f9 10 2a c5 d9 db e5 c5 e1 eb dc c5 f9 10 21 c5 f9 10 2a c5 d9 ef e5 c4 c1 79 10 28 c5 d9 ef e5 c5 d1 73 d3 01 c5 d1 db e8 c5 e1 fb dd c5 d1 73 d4 01 c5 d1 db c0 c5 d9 fb e0 c5 e1 db c1 c5 e1 73 d3 02 c5 e1 db d9 c5 f9 d4 db c5 d9 db c1 c5 d9 73 d4 02 c5 d9 db c9 c5 f9 d4 e1 c5 f9 73 d3 04 c5 e1 d4 d8 c5 e1 db da c5 f9 73 d4 04 c5 d9 d4 e0 c5 d9 db e2 c5 e1 d4 c3 c5 f9 d4 e4 33 c0 48 89 44 24 18 48 89 44 24 20 48 8d 44 24 18 c5 fa 7f 20 48 b8 01 01 01 01 01 01 01 01 48 0f af 44 24 18 48 c1 e8 38 48 ba 01 01 01 01 01 01 01 01 48 0f af 54 24 20 48 c1 ea 38 48 03 c2 48 83 c4 28 c3 cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
738       | 515     | intrinsics/dinx               | vpop_(v256x64u,v256x64u,v256x64u)                           | 7ff7c83e64a0h   | vpop          | uint vpop(Vector256<ulong> x, Vector256<ulong> y, Vector256<ulong> z)           | 48 83 ec 38 c5 f8 77 33 c0 48 89 44 24 18 48 89 44 24 20 48 89 44 24 28 48 89 44 24 30 48 b8 55 55 55 55 55 55 55 55 48 89 44 24 10 48 8d 44 24 10 c4 e2 7d 59 44 24 10 48 b8 33 33 33 33 33 33 33 33 48 89 44 24 08 48 8d 44 24 08 c4 e2 7d 59 4c 24 08 48 b8 0f 0f 0f 0f 0f 0f 0f 0f 48 89 04 24 48 8d 04 24 c4 e2 7d 59 14 24 c5 fd 10 19 c5 fd 10 22 c5 e5 ef dc c4 c1 7d 10 20 c5 e5 db dc c5 fd 10 21 c5 fd 10 2a c5 dd db e5 c5 e5 eb dc c5 fd 10 21 c5 fd 10 2a c5 dd ef e5 c4 c1 7d 10 28 c5 dd ef e5 c5 d5 73 d3 01 c5 d5 db e8 c5 e5 fb dd c5 d5 73 d4 01 c5 d5 db c0 c5 dd fb e0 c5 e5 db c1 c5 e5 73 d3 02 c5 e5 db d9 c5 fd d4 db c5 dd db c1 c5 dd 73 d4 02 c5 dd db c9 c5 fd d4 e1 c5 fd 73 d3 04 c5 e5 d4 d8 c5 e5 db da c5 fd 73 d4 04 c5 dd d4 e0 c5 dd db e2 c5 e5 d4 c3 c5 fd d4 e4 48 8d 44 24 18 c5 f8 57 c0 c5 fa 7f 00 c5 fa 7f 40 10 48 8d 44 24 18 48 8b d0 c5 fe 7f 22 48 ba 01 01 01 01 01 01 01 01 48 0f af 10 48 c1 ea 38 48 b9 01 01 01 01 01 01 01 01 48 0f af 48 08 48 c1 e9 38 48 03 d1 48 b9 01 01 01 01 01 01 01 01 48 0f af 48 10 48 c1 e9 38 48 03 d1 48 b9 01 01 01 01 01 01 01 01 48 0f af 48 18 48 c1 e9 38 48 03 d1 8b c2 c5 f8 77 48 83 c4 38 c3 cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc 00 00 00 19 04 01 00 04 62 00 00 40 00 00 00 00 00 00 00 00 18 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f8 28 c8 c4 c1 79 10 10 c5 f1 db ca c4 c1 79 10 11 c5 f9 df c2 c5 f1 eb c0 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
739       | 67      | intrinsics/dinx               | vselect_(v128x8u,v128x8u,v128x8u)                           | 7ff7c83e6660h   | vselect       | Vector128<byte> vselect(Vector128<byte> x, Vector128<byte> y, Vector128<byte> z)| c5 f8 77 66 90 c5 f9 10 02 c5 f8 28 c8 c4 c1 79 10 10 c5 f1 db ca c4 c1 79 10 11 c5 f9 df c2 c5 f1 eb c0 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
740       | 67      | intrinsics/dinx               | vselect_(v128x16u,v128x16u,v128x16u)                        | 7ff7c83e66b0h   | vselect       | Vector128<ushort> vselect(Vector128<ushort> x, Vector128<ushort> y, Vector128<ushort> z)| c5 f8 77 66 90 c5 f9 10 02 c5 f8 28 c8 c4 c1 79 10 10 c5 f1 db ca c4 c1 79 10 11 c5 f9 df c2 c5 f1 eb c0 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
741       | 67      | intrinsics/dinx               | vselect_(v128x32u,v128x32u,v128x32u)                        | 7ff7c83e6700h   | vselect       | Vector128<uint> vselect(Vector128<uint> x, Vector128<uint> y, Vector128<uint> z)| c5 f8 77 66 90 c5 f9 10 02 c5 f8 28 c8 c4 c1 79 10 10 c5 f1 db ca c4 c1 79 10 11 c5 f9 df c2 c5 f1 eb c0 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
742       | 67      | intrinsics/dinx               | vselect_(v128x64u,v128x64u,v128x64u)                        | 7ff7c83e6750h   | vselect       | Vector128<ulong> vselect(Vector128<ulong> x, Vector128<ulong> y, Vector128<ulong> z)| c5 f8 77 66 90 c5 f9 10 02 c5 f8 28 c8 c4 c1 79 10 10 c5 f1 db ca c4 c1 79 10 11 c5 f9 df c2 c5 f1 eb c0 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
743       | 67      | intrinsics/dinx               | vselect_(v256x8u,v256x8u,v256x8u)                           | 7ff7c83e67a0h   | vselect       | Vector256<byte> vselect(Vector256<byte> x, Vector256<byte> y, Vector256<byte> z)| c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 c1 7d 10 10 c5 f5 db ca c4 c1 7d 10 11 c5 fd df c2 c5 f5 eb c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
